SPIRIT1_a_W70,SPIRIT1_b_W70,SPIRIT1_c_W70,SPIRIT1_d_W70,SPIRIT2_a_W70,SPIRIT2_b_W70,SPIRIT2_c_W70,SPIRIT2_d_W70
Never,Never,Daily,Never,Weekly,Never,Daily,Daily
Daily,Never,Daily,Daily,Never,Never,Weekly,Daily
Weekly,Never,Daily,Daily,Monthly,Less than monthly,Weekly,Daily
Never,Never,Weekly,Never,Daily,Less than monthly,Weekly,Daily
Daily,Never,Daily,Daily,Daily,Daily,Weekly,Daily
Less than monthly,Never,Daily,Daily,Daily,Never,Never,Daily
Never,Never,Weekly,Less than monthly,Daily,Daily,Weekly,Daily
Weekly,Less than monthly,Daily,Daily,Daily,Less than monthly,Weekly,Daily
Never,Never,Daily,Daily,Daily,Never,Weekly,Daily
Never,Never,Daily,Weekly,Daily,Daily,Less than monthly,Monthly
Never,Never,Daily,Never,Never,Never,Monthly,Daily
Daily,Weekly,Daily,Daily,Never,Never,Weekly,Weekly
Daily,Never,Daily,Less than monthly,Daily,Less than monthly,Weekly,Daily
Weekly,Weekly,Daily,Weekly,Daily,Daily,Weekly,Daily
Never,Never,Weekly,Never,Daily,Less than monthly,Less than monthly,Never
Less than monthly,Never,Daily,Weekly,Weekly,Never,Weekly,Daily
Never,Never,Daily,Weekly,Never,Never,Monthly,Weekly
Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Daily
Never,Weekly,Daily,Monthly,Never,Never,Weekly,Less than monthly
Never,Never,Daily,Daily,Weekly,Weekly,Monthly,Daily
Never,Never,Daily,Weekly,Never,Never,Daily,Daily
Weekly,Less than monthly,Daily,Daily,Weekly,Weekly,Weekly,Daily
Less than monthly,Less than monthly,Daily,Weekly,Monthly,Never,Daily,Daily
Never,Never,Daily,Daily,Never,Never,Weekly,Daily
Never,Never,Never,Never,Never,Never,Never,Daily
Never,Never,Weekly,Weekly,Daily,Weekly,Weekly,Daily
Less than monthly,Never,Daily,Daily,Daily,Less than monthly,Weekly,Daily
Never,Never,Daily,Weekly,Weekly,Never,Weekly,Daily
Never,Never,Daily,Daily,Weekly,Weekly,Never,Daily
Never,Never,Daily,Daily,Daily,Weekly,Daily,Daily
Weekly,Never,Daily,Weekly,Weekly,Weekly,Weekly,Daily
Never,Never,Weekly,Weekly,Never,Never,Daily,Daily
Never,Never,Daily,Daily,Daily,Never,Weekly,Daily
Never,Never,Weekly,Weekly,Never,Never,Weekly,Daily
Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily
